--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',22.3130
1,l_17,6,'1 ',-9.7010
1,l_18,8,'1 ',8.1636
1,l_15,2,'1 ',4.6802
1,l_16,3,'1 ',12.6218
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.07838,-2.4867
0,2,1.0859,-0.3809
0,14,1.0586,-3.9278
0,10,1.0709,-3.7627
0,3,1.0935,-2.7883
0,7,1.0794,-3.2408
0,9,1.0761,-4.0947
0,6,1.0911,-0.6024
0,12,1.0777,-1.5244
0,11,1.0768,-2.3530
0,1,1.0999,0
0,13,1.0728,-1.7884
0,4,1.0689,-2.5221
0,5,1.0698,-1.6853
1,8,1.0976,-3.4892
1,2,1.0848,-0.0871
1,14,1.0552,-7.5954
1,10,1.0732,-6.7447
1,3,1.0560,-3.5357
1,7,1.0848,-4.9711
1,9,1.0802,-6.5899
1,6,1.0798,-5.8327
1,12,1.0434,-7.3496
1,11,1.0733,-6.4505
1,1,1.0951,0
1,13,1.0587,-6.9640
1,4,1.0562,-3.6814
1,5,1.0571,-2.9414
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019761473
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,'BL',-15.7364,-3.1777,15.7364,3.4226
0,i_14,10,11,'BL',13.7423,-2.4083,-13.6046,2.7307
0,i_17,4,7,'BL',-7.0765,-6.9456,7.0765,7.1221
0,i_18,4,9,'BL',-5.8574,-5.1554,5.8574,5.4479
0,i_19,5,6,'BL',9.3925,-24.5218,-9.3925,25.9816
0,i_1,1,5,'BL',-17.9073,-9.8671,18.1046,10.6817
0,i_6,4,5,'BL',36.7811,-9.0789,-36.6137,9.6069
0,i_9,6,13,'BL',-20.7780,-4.2926,-21.0367,4.8021
0,i_4,2,5,'BL',-16.6064,-4.2653,16.7527,4.7119
0,i_3,2,4,'BL',-25.1055,-1.5458,25.4273,2.5221
0,i_10,7,8,'BL',8.6599,-3.3909,-8.6599,3.5231
0,i_12,9,10,'BL',4.7829,-8.2844,-4.7575,8.3518
0,i_2,2,3,'BL',-22.7918,10.1160,23.0362,-9.0865
0,i_0,1,2,'BL',-19.7276,-19.2544,19.8525,19.6357
0,i_15,12,13,'BL',-2.5190,0.1331,2.5312,-0.1220
0,i_8,6,12,'BL',-8.1746,-1.6193,8.2481,1.7723
0,i_16,13,14,'BL',-11.4285,1.5347,11.6313,-1.1218
0,i_13,9,14,'BL',-1.6228,-6.0623,1.6675,6.1573
0,i_5,3,4,'BL',-2.4550,-14.3565,2.5743,14.6740
0,i_7,6,11,'BL',-17.5856,0.9551,17.8428,-0.4228
1,i_11,7,9,'BL',-30.0915,-4.0934,30.0915,4.9629
1,i_14,10,11,'BL',2.6324,-1.0457,-2.6267,1.0591
1,i_17,4,7,'BL',-12.6102,2.6616,12.6102,-2.3664
1,i_18,4,9,'BL',-10.7420,-1.6258,10.7420,2.1884
1,i_19,5,6,'BL',-24.5140,-22.7069,24.5140,25.1201
1,i_1,1,5,'BL',-29.1180,-10.2502,29.5787,12.1520
1,i_6,4,5,'BL',31.8679,-7.4889,-31.7398,7.8927
1,i_9,6,13,'BL',-20.6551,-6.5531,20.9322,7.0989
1,i_4,2,5,'BL',-34.3890,-4.7238,35.0030,6.5985
1,i_3,2,4,'BL',-41.4577,-2.1873,42.3555,4.9115
1,i_10,7,8,'BL',17.4812,8.1689,-17.4812,-7.6245
1,i_12,9,10,'BL',-6.1950,-6.6128,6.2177,6.6730
1,i_2,2,3,'BL',-36.1678,-5.7383,36.7329,8.1191
1,i_0,1,2,'BL',-8.3480,-16.1646,8.4025,16.3310
1,i_15,12,13,'BL',5.7142,1.8054,-5.6434,-1.7413
1,i_16,13,14,'BL',-3.2584,0.5678,3.2752,-0.5336
1,i_13,9,14,'BL',-9.7929,-5.0954,9.9320,5.3913
1,i_5,3,4,'BL',-1.3901,0.6839,1.3915,-0.6802
1,i_7,6,11,'BL',-6.4787,-0.4075,6.5134,0.4803
--end of line flow
